Teacher,Task,ACC
Multi-teacher,CIFAR10,86.08999848365784
Multi-teacher,FMNIST,91.38000011444092
Multi-teacher,MNIST,99.15000200271606
Multi-teacher,STL10,86.04999780654907
Multi-teacher,SVHN,83.33205580711365
Multi-teacher,QMNIST,99.15333390235901
Multi-teacher,KMNIST,90.75000286102295
squeezenet,CIFAR10,77.59000062942505
squeezenet,FMNIST,88.77999782562256
squeezenet,MNIST,97.97999858856201
squeezenet,STL10,77.87500023841858
squeezenet,SVHN,56.63798451423645
squeezenet,QMNIST,97.86666631698608
squeezenet,KMNIST,85.9499990940094
densenet,CIFAR10,86.08999848365784
densenet,FMNIST,90.79999923706055
densenet,MNIST,98.46000075340271
densenet,STL10,86.66250109672546
densenet,SVHN,73.36739301681519
densenet,QMNIST,98.49500060081482
densenet,KMNIST,89.45000171661377
googlenet,CIFAR10,82.9200029373169
googlenet,FMNIST,89.74000215530396
googlenet,MNIST,98.54000210762024
googlenet,STL10,85.29999852180481
googlenet,SVHN,68.2275652885437
googlenet,QMNIST,98.41333627700806
googlenet,KMNIST,88.30999732017517
shufflenet,CIFAR10,79.54000234603882
shufflenet,FMNIST,90.38000106811523
shufflenet,MNIST,98.68000149726868
shufflenet,STL10,79.50000166893005
shufflenet,SVHN,67.562997341156
shufflenet,QMNIST,98.6133337020874
shufflenet,KMNIST,90.09000062942505
mobilenet,CIFAR10,78.88000011444092
mobilenet,FMNIST,89.95000123977661
mobilenet,MNIST,98.68000149726868
mobilenet,STL10,80.48750162124634
mobilenet,SVHN,66.42593741416931
mobilenet,QMNIST,98.57166409492493
mobilenet,KMNIST,88.89999985694885
resnext50_32x4d,CIFAR10,81.66999816894531
resnext50_32x4d,FMNIST,90.39000272750854
resnext50_32x4d,MNIST,98.47000241279602
resnext50_32x4d,STL10,82.40000009536743
resnext50_32x4d,SVHN,68.57329607009888
resnext50_32x4d,QMNIST,98.3049988746643
resnext50_32x4d,KMNIST,87.66000270843506
wide_resnet50_2,CIFAR10,81.49999976158142
wide_resnet50_2,FMNIST,90.18999934196472
wide_resnet50_2,MNIST,98.58999848365784
wide_resnet50_2,STL10,82.72500038146973
wide_resnet50_2,SVHN,67.6283061504364
wide_resnet50_2,QMNIST,98.40166568756104
wide_resnet50_2,KMNIST,87.40000128746033
mnasnet,CIFAR10,81.19999766349792
mnasnet,FMNIST,90.35000205039978
mnasnet,MNIST,98.51999878883362
mnasnet,STL10,81.93749785423279
mnasnet,SVHN,65.93039631843567
mnasnet,QMNIST,98.52333068847656
mnasnet,KMNIST,90.2899980545044
