Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,BUCC (de-en),BUCC (fr-en),BUCC (ru-en),BUCC (zh-en),Tatoeba (afr-eng),Tatoeba (amh-eng),Tatoeba (ang-eng),Tatoeba (ara-eng),Tatoeba (arq-eng),Tatoeba (arz-eng),Tatoeba (ast-eng),Tatoeba (awa-eng),Tatoeba (aze-eng),Tatoeba (bel-eng),Tatoeba (ben-eng),Tatoeba (ber-eng),Tatoeba (bos-eng),Tatoeba (bre-eng),Tatoeba (bul-eng),Tatoeba (cat-eng),Tatoeba (cbk-eng),Tatoeba (ceb-eng),Tatoeba (ces-eng),Tatoeba (cha-eng),Tatoeba (cmn-eng),Tatoeba (cor-eng),Tatoeba (csb-eng),Tatoeba (cym-eng),Tatoeba (dan-eng),Tatoeba (deu-eng),Tatoeba (dsb-eng),Tatoeba (dtp-eng),Tatoeba (ell-eng),Tatoeba (epo-eng),Tatoeba (est-eng),Tatoeba (eus-eng),Tatoeba (fao-eng),Tatoeba (fin-eng),Tatoeba (fra-eng),Tatoeba (fry-eng),Tatoeba (gla-eng),Tatoeba (gle-eng),Tatoeba (glg-eng),Tatoeba (gsw-eng),Tatoeba (heb-eng),Tatoeba (hin-eng),Tatoeba (hrv-eng),Tatoeba (hsb-eng),Tatoeba (hun-eng),Tatoeba (hye-eng),Tatoeba (ido-eng),Tatoeba (ile-eng),Tatoeba (ina-eng),Tatoeba (ind-eng),Tatoeba (isl-eng),Tatoeba (ita-eng),Tatoeba (jav-eng),Tatoeba (jpn-eng),Tatoeba (kab-eng),Tatoeba (kat-eng),Tatoeba (kaz-eng),Tatoeba (khm-eng),Tatoeba (kor-eng),Tatoeba (kur-eng),Tatoeba (kzj-eng),Tatoeba (lat-eng),Tatoeba (lfn-eng),Tatoeba (lit-eng),Tatoeba (lvs-eng),Tatoeba (mal-eng),Tatoeba (mar-eng),Tatoeba (max-eng),Tatoeba (mhr-eng),Tatoeba (mkd-eng),Tatoeba (mon-eng),Tatoeba (nds-eng),Tatoeba (nld-eng),Tatoeba (nno-eng),Tatoeba (nob-eng),Tatoeba (nov-eng),Tatoeba (oci-eng),Tatoeba (orv-eng),Tatoeba (pam-eng),Tatoeba (pes-eng),Tatoeba (pms-eng),Tatoeba (pol-eng),Tatoeba (por-eng),Tatoeba (ron-eng),Tatoeba (rus-eng),Tatoeba (slk-eng),Tatoeba (slv-eng),Tatoeba (spa-eng),Tatoeba (sqi-eng),Tatoeba (srp-eng),Tatoeba (swe-eng),Tatoeba (swg-eng),Tatoeba (swh-eng),Tatoeba (tam-eng),Tatoeba (tat-eng),Tatoeba (tel-eng),Tatoeba (tgl-eng),Tatoeba (tha-eng),Tatoeba (tuk-eng),Tatoeba (tur-eng),Tatoeba (tzl-eng),Tatoeba (uig-eng),Tatoeba (ukr-eng),Tatoeba (urd-eng),Tatoeba (uzb-eng),Tatoeba (vie-eng),Tatoeba (war-eng),Tatoeba (wuu-eng),Tatoeba (xho-eng),Tatoeba (yid-eng),Tatoeba (yue-eng),Tatoeba (zsm-eng),Subset,Task category
1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large-instruct"">multilingual-e5-large-instruct</a>",560.0,2.09,84.29,99.61,99.15,97.87,99.39,95.4,87.14,72.81,91.1,63.07,81.86,89.76,91.99,93.79,95.55,89.13,55.58,95.86,32.94,94.38,94.93,84.1,70.78,96.57,51.46,96.37,11.82,66.59,89.97,95.3,99.33,72.0,14.51,95.12,98.48,88.03,84.72,86.77,96.92,95.02,82.47,78.33,84.99,96.22,61.9,91.46,97.6,96.75,79.45,94.33,93.52,91.92,89.78,96.27,94.42,95.0,94.67,85.28,96.12,57.85,92.47,87.72,73.27,91.97,77.33,14.98,74.51,80.68,92.01,92.81,98.93,92.58,73.44,16.92,92.49,95.49,86.32,97.2,94.26,98.2,83.0,71.91,58.29,19.63,94.57,77.98,97.27,94.91,97.18,93.57,95.13,91.91,98.6,96.75,94.53,95.72,77.68,80.91,90.65,84.61,96.08,95.85,96.72,49.64,98.27,61.09,86.82,94.78,93.41,80.55,97.1,74.4,92.34,88.26,90.38,93.47,96.48,en-x,BitextMining
2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/facebook/SONAR"">SONAR</a>",,,82.67,98.82,98.09,97.37,98.72,97.47,91.67,46.34,93.83,75.41,86.76,90.81,87.86,89.12,95.68,89.02,29.29,95.9,8.48,94.52,96.65,80.47,74.67,96.88,25.11,93.8,9.98,77.98,91.3,97.09,99.13,64.48,7.95,95.47,98.47,97.17,95.38,93.6,97.83,95.37,59.45,80.89,91.63,97.28,54.83,92.34,97.07,97.65,77.87,96.93,95.15,93.67,81.0,88.66,94.5,96.47,95.95,85.76,94.67,83.66,93.69,88.12,70.2,89.99,34.22,8.62,36.64,65.54,97.43,95.45,97.67,93.35,72.73,11.87,95.98,91.59,54.18,97.2,97.31,99.07,71.25,84.57,47.07,10.3,94.37,66.63,97.7,95.49,97.6,94.35,97.63,95.99,98.53,98.55,94.87,97.03,67.69,91.98,88.08,87.05,91.6,96.95,96.05,91.82,98.27,39.48,90.07,94.3,93.17,85.26,97.17,82.83,81.79,94.84,94.3,88.44,96.07,en-x,BitextMining
3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/LaBSE"">LaBSE</a>",471.0,1.75,81.75,99.35,98.72,97.78,99.16,96.18,91.47,59.28,88.8,42.69,76.0,90.68,71.7,94.93,95.0,88.55,8.4,94.92,15.07,94.58,95.38,79.44,64.42,96.68,31.77,95.1,10.11,52.57,92.0,95.71,99.2,64.81,10.85,95.35,98.2,96.55,95.01,87.4,96.37,94.86,89.31,85.66,93.8,96.82,46.5,91.53,96.87,96.95,67.11,96.55,94.09,89.42,85.58,95.37,93.66,94.75,92.72,79.77,95.38,4.31,95.02,87.49,78.37,90.95,83.59,11.33,80.07,67.54,96.47,95.88,98.45,92.65,63.26,15.74,93.6,95.91,79.42,96.07,94.48,98.4,74.38,65.81,38.93,10.73,94.7,64.57,97.22,94.14,96.92,93.75,96.5,96.03,98.4,96.76,94.43,95.63,59.36,84.5,89.0,85.92,97.86,96.02,96.14,75.27,98.0,58.88,92.4,93.97,93.22,84.23,97.2,60.29,90.18,91.55,88.79,89.58,95.62,en-x,BitextMining
4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Kenknight1999/test_ver_2"">test_ver_2</a>",560.0,2.09,76.52,99.38,98.11,97.52,99.2,90.26,80.69,40.18,85.47,41.56,74.73,81.76,72.27,87.61,91.2,83.02,38.89,92.86,11.1,92.93,91.03,69.15,55.31,94.89,27.21,95.28,6.28,36.98,76.21,95.08,99.07,48.44,7.0,93.88,96.01,85.03,77.82,72.62,95.44,93.42,63.43,59.01,71.48,93.34,51.65,86.52,94.48,96.15,58.7,94.01,90.92,83.63,79.15,93.61,92.9,91.96,93.29,75.46,95.28,36.54,84.09,79.44,60.02,90.65,66.83,7.91,53.3,63.02,88.48,89.83,97.7,88.58,63.42,6.79,85.5,87.53,69.52,96.63,91.4,97.2,71.56,54.91,39.8,9.28,92.14,59.87,96.6,93.63,94.87,92.32,93.13,89.65,97.1,94.7,93.1,95.3,56.83,71.61,88.23,73.65,91.34,92.0,95.38,33.15,96.27,53.16,72.08,93.32,89.21,72.35,97.0,62.26,86.23,80.87,76.33,88.71,94.53,en-x,BitextMining
5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Kenknight1999/tungdd7_ft_e5"">tungdd7_ft_e5</a>",560.0,2.09,76.52,99.38,98.11,97.52,99.2,90.26,80.69,40.18,85.47,41.56,74.73,81.76,72.27,87.61,91.2,83.02,38.89,92.86,11.1,92.93,91.03,69.15,55.31,94.89,27.21,95.28,6.28,36.98,76.21,95.08,99.07,48.44,7.0,93.88,96.01,85.03,77.82,72.62,95.44,93.42,63.43,59.01,71.48,93.34,51.65,86.52,94.48,96.15,58.7,94.01,90.92,83.63,79.15,93.61,92.9,91.96,93.29,75.46,95.28,36.54,84.09,79.44,60.02,90.65,66.83,7.91,53.3,63.02,88.48,89.83,97.7,88.58,63.42,6.79,85.5,87.53,69.52,96.63,91.4,97.2,71.56,54.91,39.8,9.28,92.14,59.87,96.6,93.63,94.87,92.32,93.13,89.65,97.1,94.7,93.1,95.3,56.83,71.61,88.23,73.65,91.34,92.0,95.38,33.15,96.27,53.16,72.08,93.32,89.21,72.35,97.0,62.26,86.23,80.87,76.33,88.71,94.53,en-x,BitextMining
6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560.0,2.09,76.52,99.38,98.11,97.52,99.2,90.26,80.69,40.18,85.47,41.56,74.73,81.76,72.27,87.61,91.2,83.02,38.89,92.86,11.1,92.93,91.03,69.15,55.31,94.89,27.21,95.28,6.28,36.98,76.21,95.08,99.07,48.44,7.0,93.88,96.01,85.03,77.82,72.62,95.44,93.42,63.43,59.01,71.48,93.34,51.65,86.52,94.48,96.15,58.7,94.01,90.92,83.63,79.15,93.61,92.9,91.96,93.29,75.46,95.28,36.54,84.09,79.44,60.02,90.65,66.83,7.91,53.3,63.02,88.48,89.83,97.7,88.58,63.42,6.79,85.5,87.53,69.52,96.63,91.4,97.2,71.56,54.91,39.8,9.28,92.14,59.87,96.6,93.63,94.87,92.32,93.13,89.65,97.1,94.7,93.1,95.3,56.83,71.61,88.23,73.65,91.34,92.0,95.38,33.15,96.27,53.16,72.08,93.32,89.21,72.35,97.0,62.26,86.23,80.87,76.33,88.71,94.53,en-x,BitextMining
7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-mistral-7b-instruct"">e5-mistral-7b-instruct</a>",7111.0,26.49,71.07,99.5,99.09,97.84,99.23,87.19,22.05,81.59,88.76,48.55,70.73,80.94,67.45,76.23,88.09,81.82,7.62,91.54,14.2,93.98,91.89,81.32,43.15,94.93,44.8,95.9,9.19,62.92,72.32,93.92,99.47,65.43,11.74,91.42,87.79,62.89,40.51,70.33,90.69,95.77,70.98,63.53,73.81,90.44,52.21,82.82,95.28,93.97,74.24,89.82,63.99,75.11,83.97,95.52,93.48,87.57,91.94,38.49,94.0,3.81,59.67,46.89,37.31,91.29,29.93,12.19,87.94,73.89,69.2,66.01,55.86,68.99,64.8,16.24,86.9,37.79,77.42,96.4,87.24,96.86,72.4,62.2,59.65,14.02,89.67,62.3,96.47,94.44,93.0,93.75,88.84,85.99,98.8,67.06,92.54,92.95,64.75,61.6,72.83,37.02,42.79,93.14,93.64,42.01,94.13,49.51,38.86,94.45,83.62,52.73,94.83,41.97,89.61,35.96,33.12,89.11,94.1,en-x,BitextMining
8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278.0,1.04,69.09,99.13,97.59,97.2,98.3,86.91,74.93,29.07,82.59,26.74,66.79,75.31,68.39,84.71,86.7,81.05,23.58,88.86,5.44,88.63,84.09,60.54,45.46,88.88,16.95,93.35,4.38,24.56,65.22,91.4,97.07,34.33,5.13,89.96,92.07,70.51,56.16,64.72,86.15,92.76,50.88,43.08,58.36,82.79,43.53,74.14,93.0,92.5,40.35,84.32,85.91,74.39,72.43,86.11,90.26,76.9,90.61,61.25,90.3,21.98,77.83,75.56,47.26,83.37,52.96,6.2,39.58,52.85,75.53,76.66,96.72,86.62,52.39,5.52,73.76,78.37,53.86,93.2,82.56,95.9,66.83,35.79,16.0,6.92,87.08,44.61,94.82,92.74,91.27,91.78,86.4,81.93,96.97,90.06,89.08,91.33,42.33,66.81,85.12,66.92,88.49,83.78,94.4,19.66,92.67,34.44,63.08,88.29,86.2,62.63,94.68,47.18,78.65,73.24,63.2,80.66,92.45,en-x,BitextMining
9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://github.com/facebookresearch/LASER"">LASER2</a>",43.0,0.16,67.42,99.21,98.39,97.62,97.7,92.59,80.82,25.22,90.14,26.63,66.16,76.35,33.74,82.41,79.54,89.43,77.63,95.86,31.2,93.57,95.8,77.17,9.93,95.52,14.86,85.62,4.45,27.03,5.85,95.22,99.07,42.34,7.39,96.2,96.61,96.43,93.32,57.04,96.98,94.28,42.07,1.52,4.2,96.14,27.52,0.0,95.32,96.72,45.75,95.2,88.72,80.86,87.88,93.93,92.98,94.32,94.32,9.95,93.78,65.88,81.16,53.3,74.19,87.97,19.09,4.46,64.81,63.39,96.2,95.33,98.16,92.93,36.96,6.86,93.63,3.42,77.13,95.35,72.75,95.77,60.02,58.13,23.24,3.24,93.13,36.23,97.32,94.54,96.52,92.58,95.82,95.4,97.33,97.22,93.64,95.31,33.1,55.66,87.32,34.74,96.72,63.19,96.38,16.35,98.03,36.56,56.49,93.52,84.23,23.2,96.73,8.25,75.09,4.68,2.49,87.75,95.41,en-x,BitextMining
10,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-small"">multilingual-e5-small</a>",118.0,0.44,65.2,97.86,92.66,93.5,88.79,85.67,76.13,42.23,72.55,22.43,55.14,71.67,74.27,80.14,84.68,77.76,16.92,83.24,8.24,83.81,79.75,57.77,42.01,78.83,27.83,88.89,6.02,23.99,65.32,84.39,96.58,31.64,7.68,84.08,90.5,55.31,54.47,58.87,68.56,89.93,51.03,39.42,59.59,81.93,36.45,67.92,93.25,86.87,37.02,71.84,82.29,70.86,71.73,85.6,87.81,62.16,87.56,50.66,83.7,17.83,76.84,73.03,47.99,74.16,39.67,8.27,39.95,52.73,61.52,60.67,94.78,86.79,49.95,6.08,59.26,78.22,53.26,90.3,69.48,87.8,68.56,42.84,15.13,6.97,84.0,42.15,85.91,89.25,83.67,87.96,79.96,72.85,91.1,88.56,80.33,84.97,44.3,66.74,81.39,63.38,85.78,79.26,89.36,18.41,86.78,36.2,59.33,81.62,84.71,58.0,87.78,40.86,69.05,62.84,66.83,69.69,90.0,en-x,BitextMining
