index,Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Embedding Dimensions,Max Tokens,Average,ArguAna,ClimateFEVER,CQADupstackRetrieval,DBPedia,FEVER,FiQA2018,HotpotQA,MSMARCO,NFCorpus,NQ,QuoraRetrieval,SCIDOCS,SciFact,Touche2020,TRECCOVID
223,1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nvidia/NV-Embed-v2"">NV-Embed-v2</a>",7851,29.25,4096,32768,62.65,70.07,45.39,50.24,53.5,93.75,65.73,85.48,45.63,45.17,73.57,89.03,21.9,80.13,31.78,88.44
22,2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-en-icl"">bge-en-icl</a>",7111,26.49,4096,32768,62.16,83.08,45.43,47.31,51.63,92.83,59.67,85.14,46.79,41.85,73.88,90.95,25.26,79.09,30.48,79.08
153,3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dunzhang/stella_en_1.5B_v5"">stella_en_1.5B_v5</a>",1543,5.75,8192,131072,61.01,65.27,46.11,47.75,52.28,94.83,60.48,76.67,45.22,42.0,71.8,90.03,26.64,80.09,29.94,85.98
224,4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nvidia/NV-Retriever-v1"">NV-Retriever-v1</a>",7111,26.49,4096,512,60.9,68.28,43.47,49.36,50.82,93.15,61.18,79.12,44.89,45.06,72.44,88.78,22.55,81.31,26.6,86.44
27,5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BN7002/gte-Qwen2-7B-instruct-Q4_K_M-GGUF"">gte-Qwen2-7B-instruct-Q4_K_M-GGUF</a>",,,,,60.25,64.27,45.88,46.43,52.42,95.11,62.03,73.08,45.98,40.6,67.0,90.09,28.91,79.06,30.57,82.26
17,6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct"">gte-Qwen2-7B-instruct</a>",7613,28.36,3584,131072,60.25,64.27,45.88,46.43,52.42,95.11,62.03,73.08,45.98,40.6,67.0,90.09,28.91,79.06,30.57,82.26
62,7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral"">Linq-Embed-Mistral</a>",7111,26.49,4096,32768,60.19,69.65,39.11,47.27,51.32,92.42,61.2,76.24,45.21,41.62,70.63,90.27,21.93,78.32,30.61,87.1
102,8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Salesforce/SFR-Embedding-2_R"">SFR-Embedding-2_R</a>",7111,26.49,4096,32768,60.18,62.34,34.43,46.11,51.21,92.16,61.77,81.36,42.18,41.34,73.96,89.58,24.87,85.91,28.18,87.27
291,9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zeta-alpha-ai/Zeta-Alpha-E5-Mistral"">Zeta-Alpha-E5-Mistral</a>",7111,26.49,4096,32768,59.5,65.62,42.05,48.85,51.2,92.44,58.78,79.45,44.18,40.46,70.52,89.89,20.86,77.38,27.1,83.68
222,10,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nvidia/NV-Embed-v1"">NV-Embed-v1</a>",7851,29.25,4096,32768,59.36,68.2,34.72,50.51,48.29,87.77,63.1,79.92,46.49,38.04,71.22,89.21,20.19,78.43,28.38,85.88
25,11,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-multilingual-gemma2"">bge-multilingual-gemma2</a>",9242,34.43,3584,8192,59.24,77.37,39.37,47.94,51.37,90.38,60.04,83.26,45.71,38.11,71.45,90.04,26.93,72.05,30.26,64.27
103,12,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Salesforce/SFR-Embedding-Mistral"">SFR-Embedding-Mistral</a>",7111,26.49,4096,32768,59.0,67.17,36.41,46.49,49.06,89.35,60.4,77.02,43.41,41.88,69.92,89.78,19.91,77.66,29.0,87.6
154,13,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dunzhang/stella_en_400M_v5"">stella_en_400M_v5</a>",435,1.62,8192,8192,58.97,64.24,43.53,44.36,49.88,90.99,56.06,71.74,43.69,41.49,69.07,89.58,25.04,78.23,31.45,85.21
28,14,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BeastyZ/e5-R-mistral-7b"">e5-R-mistral-7b</a>",7242,26.98,4096,32768,58.65,58.99,40.26,46.59,51.03,90.32,58.68,80.16,42.9,41.38,69.84,90.11,19.26,78.92,26.89,84.4
225,15,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/openbmb/MiniCPM-Embedding"">MiniCPM-Embedding</a>",2725,10.15,2304,2048,58.56,64.65,35.55,46.53,47.82,90.76,56.64,78.11,43.93,39.77,69.29,89.97,22.38,86.6,25.08,81.32
16,16,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct"">gte-Qwen2-1.5B-instruct</a>",1776,6.62,1536,131072,58.29,69.72,42.91,44.76,48.69,91.57,54.7,68.95,43.36,39.34,64.0,89.64,24.98,78.44,27.89,85.38
36,17,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DecisionOptimizationSystemProduction/DeepFeatTextEmbeddingLarge"">DeepFeatTextEmbeddingLarge</a>",1776,6.62,1536,131072,58.29,69.72,42.91,44.76,48.69,91.57,54.7,68.95,43.36,39.34,64.0,89.64,24.98,78.44,27.89,85.38
6,18,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-large-2-instruct</a>",,,1024,16000,58.28,64.06,32.65,46.6,46.03,91.47,59.76,70.86,40.6,40.32,65.92,87.4,24.32,79.99,39.16,85.07
19,19,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-large-en-v1.5"">gte-large-en-v1.5</a>",434,1.62,1024,8192,57.91,72.11,48.36,42.16,46.3,93.81,63.23,68.18,42.93,36.95,56.08,89.67,26.35,82.43,22.55,77.49
45,20,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/GritLM/GritLM-7B"">GritLM-7B</a>",7240,26.97,,4096,57.36,63.17,30.91,49.42,46.6,82.74,59.91,79.4,41.96,40.86,70.3,89.47,24.41,79.13,27.78,74.31
230,21,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/raghavlight/TDTE"">TDTE</a>",,,,,57.05,58.82,32.47,49.52,48.99,90.88,53.22,77.7,40.66,41.33,64.67,88.86,23.01,79.62,25.24,80.75
170,22,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-mistral-7b-instruct"">e5-mistral-7b-instruct</a>",7111,26.49,4096,32768,56.87,61.65,38.35,42.97,48.89,87.84,56.81,75.72,43.06,38.58,63.53,89.61,16.32,76.42,26.27,87.03
69,23,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised"">LLM2Vec-Meta-Llama-3-supervised</a>",7505,27.96,4096,8192,56.63,62.78,34.27,48.25,48.34,90.2,55.33,71.76,43.24,41.83,64.21,87.16,22.96,78.22,20.5,80.34
9,24,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-lite-02-instruct</a>",1220,4.54,1024,4000,56.6,70.28,31.95,46.2,39.79,91.35,52.51,75.51,37.93,43.7,64.26,87.62,20.24,79.91,26.8,81.02
15,25,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct"">gte-Qwen1.5-7B-instruct</a>",7099,26.45,4096,32768,56.24,62.65,44.0,40.64,48.04,93.35,55.31,72.25,41.68,38.25,61.79,89.61,27.69,75.31,20.3,72.72
71,26,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised"">LLM2Vec-Mistral-supervised</a>",7111,26.49,4096,32768,55.99,57.48,35.19,48.84,49.58,89.4,53.11,74.07,42.17,39.33,61.7,87.75,22.5,78.86,22.18,77.69
107,27,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-l"">snowflake-arctic-embed-l</a>",334,1.24,1024,512,55.98,59.09,39.33,46.97,45.97,88.22,44.71,75.18,41.68,37.65,63.11,87.41,21.36,73.82,34.52,80.72
1,28,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings#latest_models"">google-gecko.text-embedding-preview-0409</a>",1200,4.47,768,2048,55.7,62.18,33.21,48.89,47.12,86.96,59.24,71.33,32.58,40.33,61.28,88.18,20.34,75.42,25.86,82.62
8,29,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-lite-01-instruct</a>",,,1024,4000,55.58,58.73,37.47,45.11,43.42,89.71,44.79,70.46,39.66,43.33,60.65,87.83,23.19,73.64,36.83,78.92
192,30,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jspringer/echo-mistral-7b-instruct-lasttoken"">echo-mistral-7b-instruct-lasttoken</a>",7111,26.49,4096,32768,55.52,58.52,34.56,46.91,46.83,91.22,54.51,76.41,43.25,39.55,62.31,89.34,20.17,73.99,18.52,76.66
305,31,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-embedding-models-and-api-updates"">text-embedding-3-large</a>",,,3072,8191,55.44,58.05,30.27,47.54,44.76,87.94,55.0,71.58,40.24,42.07,61.27,89.05,23.11,77.77,23.35,79.56
65,32,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Marqo/marqo-chimera-arctic-bge-m"">marqo-chimera-arctic-bge-m</a>",,,,,55.16,62.6,34.42,42.89,44.91,87.71,44.31,74.39,43.42,38.46,53.2,89.14,21.85,74.85,33.01,82.25
125,33,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/aimlresearch2023/snowflake-arctic-embed-m-v1.5-Q8_0-GGUF"">snowflake-arctic-embed-m-v1.5-Q8_0-GGUF</a>",,,,,55.14,59.53,36.85,44.99,45.55,88.41,42.4,72.21,42.03,36.2,62.46,87.37,21.49,71.59,31.43,84.61
110,34,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5"">snowflake-arctic-embed-m-v1.5</a>",109,0.41,768,512,55.14,59.53,36.85,44.99,45.55,88.41,42.4,72.21,42.03,36.2,62.46,87.37,21.49,71.59,31.43,84.61
205,35,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/msyukorai/snowflake-arctic-embed-m-v1.5-Q4_K_M-GGUF"">snowflake-arctic-embed-m-v1.5-Q4_K_M-GGUF</a>",,,,,55.14,59.53,36.85,44.99,45.55,88.41,42.4,72.21,42.03,36.2,62.46,87.37,21.49,71.59,31.43,84.61
46,36,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/GritLM/GritLM-8x7B"">GritLM-8x7B</a>",46703,173.98,4096,32768,55.09,59.49,28.69,47.63,46.54,85.02,49.89,73.83,35.55,39.05,63.87,87.7,23.06,77.02,27.97,81.07
33,37,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-english-v3.0"">Cohere-embed-english-v3.0</a>",,,1024,512,55.0,61.52,38.43,41.53,43.36,88.97,42.19,70.72,42.93,38.57,61.56,88.72,20.31,71.83,32.42,81.92
108,38,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-m"">snowflake-arctic-embed-m</a>",109,0.41,768,512,54.91,56.44,39.37,43.81,44.73,89.02,42.4,73.65,41.77,36.77,62.43,87.42,21.1,73.55,31.47,79.65
287,39,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/yixuan-chia/snowflake-arctic-embed-m-long-Q8_0-GGUF"">snowflake-arctic-embed-m-long-Q8_0-GGUF</a>",,,,,54.83,60.36,38.33,44.21,45.29,86.89,42.16,72.76,41.97,35.87,62.34,87.72,20.47,69.96,32.35,81.7
109,40,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-m-long"">snowflake-arctic-embed-m-long</a>",137,0.51,768,8192,54.83,60.36,38.33,44.21,45.29,86.89,42.16,72.76,41.97,35.87,62.34,87.72,20.47,69.96,32.35,81.7
116,41,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/WhereIsAI/UAE-Large-V1"">UAE-Large-V1</a>",335,1.25,1024,512,54.66,66.15,38.53,40.93,44.89,88.24,44.84,73.13,41.4,38.65,55.86,89.02,22.98,74.07,24.93,76.33
67,42,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-supervised"">LLM2Vec-Llama-2-supervised</a>",6607,24.61,4096,4096,54.6,56.53,30.7,45.94,48.42,89.93,51.28,72.99,41.46,40.33,61.24,85.59,21.05,77.3,16.92,79.25
204,43,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1"">mxbai-embed-large-v1</a>",335,1.25,1024,512,54.39,66.02,36.09,41.6,44.51,86.91,45.27,72.03,41.26,38.64,55.79,88.98,23.32,74.73,25.2,75.57
23,44,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-large-en-v1.5"">bge-large-en-v1.5</a>",335,1.25,1024,512,54.29,63.54,36.57,42.23,44.11,87.18,45.02,74.1,42.49,38.13,55.03,89.07,22.64,74.61,24.81,74.82
18,45,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5"">gte-base-en-v1.5</a>",137,0.51,768,8192,54.09,63.49,40.36,39.52,39.9,94.81,48.65,67.75,42.62,35.88,52.96,88.42,21.92,76.77,25.22,73.13
191,46,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v3"">jina-embeddings-v3</a>",572,2.13,1024,8194,53.88,54.33,42.36,42.59,41.0,89.05,47.35,64.67,40.81,36.62,64.23,89.09,19.81,72.31,26.3,77.72
35,47,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-multilingual-v3.0"">Cohere-embed-multilingual-v3.0</a>",,,1024,512,53.84,55.11,29.96,40.64,41.0,88.53,44.1,70.61,43.45,36.42,63.41,88.92,19.34,70.05,32.7,83.37
57,48,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Labib11/MUG-B-1.6"">MUG-B-1.6</a>",335,1.25,1024,512,53.46,66.18,33.13,42.74,42.84,85.44,44.93,72.49,41.46,37.9,55.12,89.07,23.69,75.14,24.42,67.33
130,49,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/GIST-large-Embedding-v0"">GIST-large-Embedding-v0</a>",335,1.25,1024,512,53.44,63.38,33.99,43.44,42.96,86.55,44.3,70.46,41.39,38.65,56.09,88.98,24.06,74.72,23.45,69.13
279,50,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/w601sxs/b1ade-embed"">b1ade-embed</a>",335,1.25,1024,512,53.3,65.99,30.37,43.39,43.31,83.58,45.01,71.26,41.63,39.13,55.13,89.12,23.79,75.25,23.11,69.38
21,51,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-base-en-v1.5"">bge-base-en-v1.5</a>",109,0.41,768,512,53.25,63.61,31.17,42.35,40.77,86.29,40.65,72.6,41.35,37.39,54.15,88.9,21.73,74.04,25.7,78.07
220,52,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5</a>",137,0.51,768,8192,53.01,48.01,41.28,39.61,43.9,86.34,37.46,72.62,42.53,34.67,59.72,88.0,18.62,70.28,29.86,82.3
213,53,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1"">nomic-embed-text-v1</a>",137,0.51,768,8192,52.81,49.26,40.5,38.26,45.03,84.98,38.44,73.64,43.13,35.03,59.38,87.7,18.29,70.5,28.15,79.92
175,54,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large-instruct"">multilingual-e5-large-instruct</a>",560,2.09,1024,514,52.64,58.48,29.86,42.71,38.36,77.99,48.42,69.32,40.43,36.34,57.75,89.15,19.24,71.62,27.4,82.51
