index,Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Embedding Dimensions,Max Tokens,Average,BIOSSES,SICK-R,STS12,STS13,STS14,STS15,STS16,STS17 (en-en),STS22 (en),STSBenchmark
121,1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/actualdata/bilingual-embedding-large"">bilingual-embedding-large</a>",560,2.09,1024,514,86.02,87.86,81.01,85.52,89.37,91.61,92.02,86.29,88.71,68.58,89.28
59,2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Lajavaness/bilingual-embedding-large"">bilingual-embedding-large</a>",560,2.09,1024,514,86.02,87.86,81.01,85.52,89.37,91.61,92.02,86.29,88.71,68.58,89.28
191,3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v3"">jina-embeddings-v3</a>",572,2.13,1024,8194,85.81,88.69,89.62,82.44,89.49,84.95,89.31,86.85,90.0,67.28,89.44
9,4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-lite-02-instruct</a>",1220,4.54,1024,4000,85.79,89.7,78.44,86.46,87.76,86.6,90.1,86.39,86.98,76.89,88.56
1,5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings#latest_models"">google-gecko.text-embedding-preview-0409</a>",1200,4.47,768,2048,85.07,89.46,81.93,77.59,90.36,85.25,89.66,87.34,92.06,68.02,88.99
103,6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Salesforce/SFR-Embedding-Mistral"">SFR-Embedding-Mistral</a>",7111,26.49,4096,32768,85.05,86.07,82.92,79.47,89.15,84.93,90.74,87.82,92.02,68.36,89.0
279,7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/w601sxs/b1ade-embed"">b1ade-embed</a>",335,1.25,1024,512,85.04,89.15,82.83,78.65,90.0,84.97,89.81,86.71,89.8,69.67,88.77
175,8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large-instruct"">multilingual-e5-large-instruct</a>",560,2.09,1024,514,85.03,87.46,81.73,82.53,88.05,84.83,91.02,87.32,90.33,68.67,88.39
204,9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1"">mxbai-embed-large-v1</a>",335,1.25,1024,512,85.0,88.41,82.92,78.76,90.35,85.46,89.62,86.58,89.5,69.34,89.1
151,10,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dopeba/mxbai-embed-large-v1-Q6_K-GGUF"">mxbai-embed-large-v1-Q6_K-GGUF</a>",,,,,85.0,88.41,82.92,78.76,90.35,85.46,89.62,86.58,89.5,69.34,89.1
