index,Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Embedding Dimensions,Max Tokens,Average (56 datasets),Classification Average (12 datasets),Clustering Average (11 datasets),PairClassification Average (3 datasets),Reranking Average (4 datasets),Retrieval Average (15 datasets),STS Average (10 datasets),Summarization Average (1 datasets)
223,1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nvidia/NV-Embed-v2"">NV-Embed-v2</a>",7851,29.25,4096,32768,72.31,90.37,58.46,88.67,60.65,62.65,84.31,30.7
22,2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-en-icl"">bge-en-icl</a>",7111,26.49,4096,32768,71.67,88.95,57.89,88.14,59.86,62.16,84.24,30.77
153,3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dunzhang/stella_en_1.5B_v5"">stella_en_1.5B_v5</a>",1543,5.75,8192,131072,71.19,87.63,57.69,88.07,61.21,61.01,84.51,31.49
102,4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Salesforce/SFR-Embedding-2_R"">SFR-Embedding-2_R</a>",7111,26.49,4096,32768,70.31,89.05,56.17,88.07,60.14,60.18,81.26,30.71
17,5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct"">gte-Qwen2-7B-instruct</a>",7613,28.36,3584,131072,70.24,86.58,56.92,85.79,61.42,60.25,83.04,31.35
27,6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BN7002/gte-Qwen2-7B-instruct-Q4_K_M-GGUF"">gte-Qwen2-7B-instruct-Q4_K_M-GGUF</a>",,,,,70.24,86.58,56.92,85.79,61.42,60.25,83.04,31.35
154,7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dunzhang/stella_en_400M_v5"">stella_en_400M_v5</a>",435,1.62,8192,8192,70.11,86.67,56.7,87.74,60.16,58.97,84.22,31.66
25,8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-multilingual-gemma2"">bge-multilingual-gemma2</a>",9242,34.43,3584,8192,69.88,88.08,54.65,85.84,59.72,59.24,83.88,31.2
222,9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nvidia/NV-Embed-v1"">NV-Embed-v1</a>",7851,29.25,4096,32768,69.32,87.35,52.8,86.91,60.54,59.36,82.84,31.2
6,10,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-large-2-instruct</a>",,,1024,16000,68.23,81.49,53.35,89.25,60.09,58.28,84.31,30.84
62,11,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral"">Linq-Embed-Mistral</a>",7111,26.49,4096,32768,68.17,80.2,51.42,88.35,60.29,60.19,84.97,30.98
103,12,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Salesforce/SFR-Embedding-Mistral"">SFR-Embedding-Mistral</a>",7111,26.49,4096,32768,67.56,78.33,51.67,88.54,60.64,59.0,85.05,31.16
291,13,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zeta-alpha-ai/Zeta-Alpha-E5-Mistral"">Zeta-Alpha-E5-Mistral</a>",7111,26.49,4096,32768,67.55,78.77,51.89,88.19,59.02,59.5,84.24,31.42
15,14,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct"">gte-Qwen1.5-7B-instruct</a>",7099,26.45,4096,32768,67.35,79.6,55.83,87.41,60.13,56.24,82.42,31.46
16,15,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct"">gte-Qwen2-1.5B-instruct</a>",1776,6.62,1536,131072,67.16,82.47,48.75,87.51,59.98,58.29,82.73,31.17
36,16,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DecisionOptimizationSystemProduction/DeepFeatTextEmbeddingLarge"">DeepFeatTextEmbeddingLarge</a>",1776,6.62,1536,131072,67.16,82.47,48.75,87.51,59.98,58.29,82.73,31.17
9,17,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-lite-02-instruct</a>",1220,4.54,1024,4000,67.13,79.25,52.42,86.87,58.24,56.6,85.79,31.01
45,18,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/GritLM/GritLM-7B"">GritLM-7B</a>",7240,26.97,,4096,66.58,78.65,50.61,87.29,60.48,57.36,83.35,30.39
170,19,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-mistral-7b-instruct"">e5-mistral-7b-instruct</a>",7111,26.49,4096,32768,66.4,77.37,50.26,88.42,60.21,56.87,84.62,31.53
1,20,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings#latest_models"">google-gecko.text-embedding-preview-0409</a>",1200,4.47,768,2048,66.31,81.17,47.48,87.61,58.9,55.7,85.07,32.63
230,21,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/raghavlight/TDTE"">TDTE</a>",,,,,65.96,77.17,47.86,88.27,60.46,57.05,84.82,30.83
46,22,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/GritLM/GritLM-8x7B"">GritLM-8x7B</a>",46703,173.98,4096,32768,65.66,78.53,50.14,84.97,59.8,55.09,83.26,29.82
191,23,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v3"">jina-embeddings-v3</a>",572,2.13,1024,8194,65.51,82.58,45.21,84.01,58.13,53.88,85.81,29.71
19,24,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-large-en-v1.5"">gte-large-en-v1.5</a>",434,1.62,1024,8192,65.39,77.75,47.96,84.53,58.5,57.91,81.43,30.91
69,25,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised"">LLM2Vec-Meta-Llama-3-supervised</a>",7505,27.96,4096,8192,65.01,75.92,46.45,87.79,59.68,56.63,83.58,30.94
71,26,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised"">LLM2Vec-Mistral-supervised</a>",7111,26.49,4096,32768,64.8,76.63,45.54,87.99,58.42,55.99,84.09,29.96
192,27,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jspringer/echo-mistral-7b-instruct-lasttoken"">echo-mistral-7b-instruct-lasttoken</a>",7111,26.49,4096,32768,64.68,77.43,46.32,87.34,58.14,55.52,82.56,30.73
204,28,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1"">mxbai-embed-large-v1</a>",335,1.25,1024,512,64.68,75.64,46.71,87.2,60.11,54.39,85.0,32.71
116,29,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/WhereIsAI/UAE-Large-V1"">UAE-Large-V1</a>",335,1.25,1024,512,64.64,75.58,46.73,87.25,59.88,54.66,84.54,32.03
305,30,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-embedding-models-and-api-updates"">text-embedding-3-large</a>",,,3072,8191,64.59,75.45,49.01,85.72,59.16,55.44,81.73,29.92
8,31,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-lite-01-instruct</a>",,,1024,4000,64.49,74.79,47.4,86.57,59.74,55.58,82.93,30.97
33,32,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-english-v3.0"">Cohere-embed-english-v3.0</a>",,,1024,512,64.47,76.49,47.43,85.84,58.01,55.0,82.62,30.18
0,33,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings#latest_models"">google-gecko-256.text-embedding-preview-0409</a>",1200,4.47,256,2048,64.37,79.0,45.07,87.29,57.78,52.44,84.93,32.36
130,34,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/GIST-large-Embedding-v0"">GIST-large-Embedding-v0</a>",335,1.25,1024,512,64.34,76.01,46.55,86.7,60.05,53.44,84.59,30.96
23,35,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-large-en-v1.5"">bge-large-en-v1.5</a>",335,1.25,1024,512,64.23,75.97,46.08,87.12,60.03,54.29,83.11,31.61
279,36,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/w601sxs/b1ade-embed"">b1ade-embed</a>",335,1.25,1024,512,64.21,75.16,46.46,87.07,60.0,53.3,85.04,31.93
57,37,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Labib11/MUG-B-1.6"">MUG-B-1.6</a>",335,1.25,1024,512,64.2,74.5,46.93,87.14,59.97,53.46,84.99,32.12
67,38,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-supervised"">LLM2Vec-Llama-2-supervised</a>",6607,24.61,4096,4096,64.14,76.33,45.24,88.03,57.38,54.6,83.73,28.49
18,39,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5"">gte-base-en-v1.5</a>",137,0.51,768,8192,64.11,77.17,46.82,85.33,57.66,54.09,81.97,31.17
35,40,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-multilingual-v3.0"">Cohere-embed-multilingual-v3.0</a>",,,1024,512,64.01,76.01,46.6,86.15,57.86,53.84,83.15,30.99
128,41,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/GIST-Embedding-v0"">GIST-Embedding-v0</a>",109,0.41,768,512,63.71,76.03,46.21,86.32,59.37,52.31,83.51,30.87
175,42,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large-instruct"">multilingual-e5-large-instruct</a>",560,2.09,1024,514,63.61,73.32,47.07,86.24,58.92,52.64,85.03,30.46
21,43,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-base-en-v1.5"">bge-base-en-v1.5</a>",109,0.41,768,512,63.56,75.53,45.81,86.55,58.86,53.25,82.4,31.07
196,44,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/llmrails/ember-v1"">ember-v1</a>",335,1.25,1024,512,63.54,75.99,45.58,87.37,60.04,51.92,83.34,30.82
183,45,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jamesgpt1/sf_model_e5"">sf_model_e5</a>",335,1.25,1024,512,63.34,73.96,46.61,86.85,59.86,51.8,83.85,31.61
203,46,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/mixedbread-ai/mxbai-embed-2d-large-v1"">mxbai-embed-2d-large-v1</a>",335,1.25,1024,512,63.25,74.14,46.07,85.89,58.94,51.42,84.9,31.55
267,47,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-large"">gte-large</a>",335,1.25,1024,512,63.13,73.33,46.84,85.0,59.13,52.22,83.35,31.66
132,48,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0"">NoInstruct-small-Embedding-v0</a>",33,0.12,384,512,63.12,75.97,44.95,84.99,58.3,51.99,83.0,30.6
131,49,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/GIST-small-Embedding-v0"">GIST-small-Embedding-v0</a>",33,0.12,384,512,62.72,76.11,44.82,84.68,58.56,50.43,83.03,31.14
165,50,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-base-en-v2"">stella-base-en-v2</a>",55,0.2,768,512,62.61,75.28,44.9,86.45,58.78,50.1,83.02,32.52
266,51,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-base"">gte-base</a>",109,0.41,768,512,62.39,73.01,46.2,84.57,58.61,51.14,82.3,31.17
