Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,AmazonReviewsClassification (fr),MasakhaNEWSClassification (fra),MassiveIntentClassification (fr),MassiveScenarioClassification (fr),MTOPDomainClassification (fr),MTOPIntentClassification (fr),Subset,Task category
1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1"">Solon-embeddings-large-0.1</a>",560,2.09,70.02,42.08,81.52,67.4,71.29,89.26,68.55,fr,Classification
2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-and-improved-embedding-model"">text-embedding-ada-002</a>",,,69.27,43.76,81.52,65.42,71.11,89.38,64.45,fr,Classification
3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.mistral.ai/guides/embeddings"">mistral-embed</a>",,,68.61,41.59,81.4,62.83,69.71,90.05,66.09,fr,Classification
4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.1"">sentence_croissant_alpha_v0.1</a>",1280,4.77,68.48,36.62,80.4,65.86,71.6,88.7,67.69,fr,Classification
5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-law-2</a>",,,68.45,41.98,76.42,66.94,72.78,90.12,62.44,fr,Classification
6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560,2.09,68.39,41.91,79.38,69.34,73.87,86.41,59.43,fr,Classification
7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/bge-m3-custom-fr"">bge-m3-custom-fr</a>",568,2.12,67.57,42.33,70.52,66.7,74.58,90.39,60.88,fr,Classification
8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-code-2</a>",,,67.44,42.15,82.13,63.08,70.15,87.68,59.44,fr,Classification
9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.2"">sentence_croissant_alpha_v0.2</a>",1280,4.77,67.4,36.48,73.18,66.3,71.7,88.96,67.76,fr,Classification
10,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xxl"">sentence-t5-xxl</a>",4865,18.12,67.36,46.09,79.1,65.91,68.53,86.2,58.33,fr,Classification
11,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.3"">sentence_croissant_alpha_v0.3</a>",1280,4.77,67.11,35.11,75.17,66.48,71.47,88.52,65.93,fr,Classification
