Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,AlloProfClusteringP2P,AlloProfClusteringS2S,HALClusteringS2S,MLSUMClusteringP2P,MLSUMClusteringS2S,MasakhaNEWSClusteringP2P (fra),MasakhaNEWSClusteringS2S (fra),Subset,Task category
1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-and-improved-embedding-model"">text-embedding-ada-002</a>",,,49.67,64.83,53.52,26.18,44.59,41.67,68.35,48.58,fr,Clustering
2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-code-2</a>",,,45.46,61.63,50.67,27.44,45.23,41.48,56.59,35.18,fr,Clustering
3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.mistral.ai/guides/embeddings"">mistral-embed</a>",,,44.74,62.01,49.2,26.17,45.28,42.74,48.13,39.62,fr,Clustering
4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xxl"">sentence-t5-xxl</a>",4865,18.12,43.25,60.98,43.5,21.4,42.24,35.25,61.15,38.24,fr,Clustering
5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dangvantuan/sentence-camembert-large"">sentence-camembert-large</a>",337,1.26,43.17,62.69,42.06,23.9,42.04,32.29,54.51,44.73,fr,Clustering
6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278,1.04,42.66,62.09,32.98,22.48,43.48,38.53,47.91,51.16,fr,Clustering
7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-multilingual-3"">universal-sentence-encoder-multilingual-3</a>",,,42.0,56.9,37.84,18.95,43.9,35.5,60.57,40.31,fr,Clustering
8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-2</a>",,,41.88,57.96,41.65,24.84,45.08,38.77,48.54,36.33,fr,Clustering
9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.4"">sentence_croissant_alpha_v0.4</a>",1280,4.77,41.82,57.43,39.09,25.77,42.03,41.83,49.68,36.91,fr,Clustering
10,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Wissam42/sentence-croissant-llm-base"">sentence-croissant-llm-base</a>",1280,4.77,41.7,64.12,32.52,23.4,42.94,33.91,53.94,41.05,fr,Clustering
