Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,AlloprofRetrieval,BSARDRetrieval,MintakaRetrieval (fr),SyntecRetrieval,XPQARetrieval (fr),Subset,Task category
1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-law-2</a>",,,52.98,57.28,11.83,34.92,87.33,73.56,fr,Retrieval
2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-and-improved-embedding-model"">text-embedding-ada-002</a>",,,48.23,51.64,0.61,29.94,85.97,73.0,fr,Retrieval
3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.mistral.ai/guides/embeddings"">mistral-embed</a>",,,46.81,56.84,2.48,21.73,78.77,74.24,fr,Retrieval
4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1"">Solon-embeddings-large-0.1</a>",560,2.09,46.78,46.94,2.08,30.07,84.6,70.22,fr,Retrieval
5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-code-2</a>",,,45.33,52.61,0.29,19.05,82.77,71.95,fr,Retrieval
6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.3"">sentence_croissant_alpha_v0.3</a>",1280,4.77,44.9,49.84,0.22,31.25,76.63,66.55,fr,Retrieval
7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.4"">sentence_croissant_alpha_v0.4</a>",1280,4.77,44.41,49.05,0.16,31.06,76.96,64.8,fr,Retrieval
8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.2"">sentence_croissant_alpha_v0.2</a>",1280,4.77,43.85,47.69,1.75,27.88,77.67,64.27,fr,Retrieval
9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xxl"">sentence-t5-xxl</a>",4865,18.12,43.84,45.75,3.33,34.93,78.97,56.2,fr,Retrieval
10,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/bge-m3-custom-fr"">bge-m3-custom-fr</a>",568,2.12,43.58,45.1,0.0,25.17,79.14,68.49,fr,Retrieval
11,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560,2.09,42.17,38.15,0.27,25.2,81.07,66.15,fr,Retrieval
12,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278,1.04,41.19,36.21,0.0,23.46,80.49,65.81,fr,Retrieval
13,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.1"">sentence_croissant_alpha_v0.1</a>",1280,4.77,41.15,45.41,0.0,25.7,75.75,58.88,fr,Retrieval
14,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-2</a>",,,40.81,45.5,0.15,15.51,75.83,67.07,fr,Retrieval
15,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-multilingual-v3.0"">Cohere-embed-multilingual-v3.0</a>",,,40.42,38.36,0.14,25.44,79.27,58.87,fr,Retrieval
16,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dangvantuan/sentence-camembert-large"">sentence-camembert-large</a>",337,1.26,40.04,31.62,0.0,21.87,81.11,65.62,fr,Retrieval
17,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xl"">sentence-t5-xl</a>",1240,4.62,39.69,40.38,0.14,31.54,74.24,52.14,fr,Retrieval
