Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,MassiveIntentClassification (nb),MassiveScenarioClassification (nb),NoRecClassification,NordicLangClassification,NorwegianParliament,ScalaNbClassification,Subset,Task category
1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/NbAiLab/nb-bert-large"">nb-bert-large</a>",355.0,1.32,66.73,62.68,67.44,55.46,85.27,62.58,66.97,no,Classification
2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/NbAiLab/nb-bert-base"">nb-bert-base</a>",179.0,0.67,63.94,60.67,67.31,51.32,84.69,57.41,62.25,no,Classification
3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560.0,2.09,63.64,59.83,66.18,62.76,82.29,60.36,50.44,no,Classification
4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ltg/norbert3-base"">norbert3-base</a>",131.0,0.49,61.75,54.2,60.69,53.4,82.67,59.33,60.19,no,Classification
5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278.0,1.04,61.63,59.83,66.18,57.58,75.94,59.94,50.32,no,Classification
6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/chcaa/dfm-encoder-large-v1"">dfm-sentence-encoder-large-1</a>",355.0,1.32,61.34,57.57,63.66,50.46,75.98,57.66,62.69,no,Classification
7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ltg/norbert3-large"">norbert3-large</a>",368.0,1.37,60.34,47.42,54.25,50.46,84.25,58.85,66.79,no,Classification
8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-small"">multilingual-e5-small</a>",118.0,0.44,58.86,53.96,59.9,53.96,75.15,60.15,50.06,no,Classification
9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/chcaa/dfm-encoder-large-v1"">dfm-encoder-large-v1</a>",355.0,1.32,58.46,52.49,54.59,48.3,77.68,58.78,58.95,no,Classification
10,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vesteinn/DanskBERT"">DanskBERT</a>",125.0,0.47,55.0,45.38,47.55,46.06,74.25,56.79,59.99,no,Classification
