Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,AmazonCounterfactualClassification (de),AmazonCounterfactualClassification (ja),AmazonReviewsClassification (de),AmazonReviewsClassification (es),AmazonReviewsClassification (fr),AmazonReviewsClassification (ja),AmazonReviewsClassification (zh),MTOPDomainClassification (de),MTOPDomainClassification (es),MTOPDomainClassification (fr),MTOPDomainClassification (hi),MTOPDomainClassification (th),MTOPIntentClassification (de),MTOPIntentClassification (es),MTOPIntentClassification (fr),MTOPIntentClassification (hi),MTOPIntentClassification (th),MassiveIntentClassification (af),MassiveIntentClassification (am),MassiveIntentClassification (ar),MassiveIntentClassification (az),MassiveIntentClassification (bn),MassiveIntentClassification (cy),MassiveIntentClassification (de),MassiveIntentClassification (el),MassiveIntentClassification (es),MassiveIntentClassification (fa),MassiveIntentClassification (fi),MassiveIntentClassification (fr),MassiveIntentClassification (he),MassiveIntentClassification (hi),MassiveIntentClassification (hu),MassiveIntentClassification (hy),MassiveIntentClassification (id),MassiveIntentClassification (is),MassiveIntentClassification (it),MassiveIntentClassification (ja),MassiveIntentClassification (jv),MassiveIntentClassification (ka),MassiveIntentClassification (km),MassiveIntentClassification (kn),MassiveIntentClassification (ko),MassiveIntentClassification (lv),MassiveIntentClassification (ml),MassiveIntentClassification (mn),MassiveIntentClassification (ms),MassiveIntentClassification (my),MassiveIntentClassification (nl),MassiveIntentClassification (pt),MassiveIntentClassification (ro),MassiveIntentClassification (ru),MassiveIntentClassification (sl),MassiveIntentClassification (sq),MassiveIntentClassification (sw),MassiveIntentClassification (ta),MassiveIntentClassification (te),MassiveIntentClassification (th),MassiveIntentClassification (tl),MassiveIntentClassification (tr),MassiveIntentClassification (ur),MassiveIntentClassification (vi),MassiveIntentClassification (zh-TW),MassiveScenarioClassification (af),MassiveScenarioClassification (am),MassiveScenarioClassification (ar),MassiveScenarioClassification (az),MassiveScenarioClassification (bn),MassiveScenarioClassification (cy),MassiveScenarioClassification (de),MassiveScenarioClassification (el),MassiveScenarioClassification (es),MassiveScenarioClassification (fa),MassiveScenarioClassification (fi),MassiveScenarioClassification (fr),MassiveScenarioClassification (he),MassiveScenarioClassification (hi),MassiveScenarioClassification (hu),MassiveScenarioClassification (hy),MassiveScenarioClassification (id),MassiveScenarioClassification (is),MassiveScenarioClassification (it),MassiveScenarioClassification (ja),MassiveScenarioClassification (jv),MassiveScenarioClassification (ka),MassiveScenarioClassification (km),MassiveScenarioClassification (kn),MassiveScenarioClassification (ko),MassiveScenarioClassification (lv),MassiveScenarioClassification (ml),MassiveScenarioClassification (mn),MassiveScenarioClassification (ms),MassiveScenarioClassification (my),MassiveScenarioClassification (nl),MassiveScenarioClassification (pt),MassiveScenarioClassification (ro),MassiveScenarioClassification (ru),MassiveScenarioClassification (sl),MassiveScenarioClassification (sq),MassiveScenarioClassification (sw),MassiveScenarioClassification (ta),MassiveScenarioClassification (te),MassiveScenarioClassification (th),MassiveScenarioClassification (tl),MassiveScenarioClassification (tr),MassiveScenarioClassification (ur),MassiveScenarioClassification (vi),MassiveScenarioClassification (zh-TW),Subset,Task category
1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large-instruct"">multilingual-e5-large-instruct</a>",560,2.09,71.36,66.71,76.05,53.0,48.81,48.51,47.71,44.66,92.68,92.27,89.97,90.03,87.56,79.37,80.34,76.72,77.87,77.74,67.66,60.71,63.61,69.0,68.54,63.03,72.47,71.24,72.82,74.25,72.29,73.32,70.22,71.58,71.92,68.07,72.62,65.77,73.45,74.69,63.04,58.91,54.43,66.33,70.59,69.11,69.7,66.44,70.8,64.79,74.43,73.63,71.89,74.16,69.96,69.5,63.01,66.91,67.62,69.51,69.31,72.24,67.5,71.29,69.38,73.34,65.84,69.76,72.02,72.76,68.02,77.68,76.13,76.97,78.1,75.21,77.07,73.53,75.75,77.09,71.08,77.1,71.26,77.08,79.35,68.42,66.16,60.11,71.25,76.46,73.25,74.12,70.02,74.41,68.4,78.52,77.12,75.26,77.71,74.84,74.72,67.92,70.93,72.41,75.18,72.86,76.47,71.89,74.75,75.46,other-cls,Classification
2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Kenknight1999/tungdd7_ft_e5"">tungdd7_ft_e5</a>",560,2.09,67.6,71.22,77.84,45.4,43.07,41.89,40.12,38.83,91.95,92.2,89.0,89.78,88.75,74.53,75.44,70.56,73.12,74.29,62.38,56.07,60.75,64.87,63.97,54.98,69.33,69.09,70.49,69.91,70.12,69.34,67.61,67.8,69.69,62.07,70.05,62.42,70.53,72.51,57.91,51.78,47.02,62.16,69.43,67.08,65.57,61.71,66.04,60.88,70.45,70.73,68.36,71.7,67.09,65.18,58.5,62.69,63.02,68.29,64.77,69.87,64.05,69.38,66.2,68.74,60.59,66.23,66.48,67.75,59.09,74.7,73.9,74.31,72.95,73.12,73.87,71.4,72.13,74.52,64.94,74.12,67.15,74.32,77.47,63.32,58.35,50.88,66.44,75.05,70.5,69.94,64.79,69.88,63.25,74.83,73.49,71.72,75.14,71.87,70.28,63.14,66.28,66.69,73.45,67.71,73.99,68.15,73.11,71.81,other-cls,Classification
3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Kenknight1999/test_ver_2"">test_ver_2</a>",560,2.09,67.6,71.22,77.84,45.4,43.07,41.89,40.12,38.83,91.95,92.2,89.0,89.78,88.75,74.53,75.44,70.56,73.12,74.29,62.38,56.07,60.75,64.87,63.97,54.98,69.33,69.09,70.49,69.91,70.12,69.34,67.61,67.8,69.69,62.07,70.05,62.42,70.53,72.51,57.91,51.78,47.02,62.16,69.43,67.08,65.57,61.71,66.04,60.88,70.45,70.73,68.36,71.7,67.09,65.18,58.5,62.69,63.02,68.29,64.77,69.87,64.05,69.38,66.2,68.74,60.59,66.23,66.48,67.75,59.09,74.7,73.9,74.31,72.95,73.12,73.87,71.4,72.13,74.52,64.94,74.12,67.15,74.32,77.47,63.32,58.35,50.88,66.44,75.05,70.5,69.94,64.79,69.88,63.25,74.83,73.49,71.72,75.14,71.87,70.28,63.14,66.28,66.69,73.45,67.71,73.99,68.15,73.11,71.81,other-cls,Classification
4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560,2.09,67.48,71.22,77.84,45.4,43.07,41.91,40.12,38.83,91.95,92.2,86.41,89.78,88.75,74.53,75.44,59.43,73.12,74.29,62.38,56.07,60.75,64.87,63.97,54.98,69.33,69.09,70.49,69.91,70.12,69.34,67.61,67.8,69.69,62.07,70.05,62.42,70.53,72.51,57.91,51.78,47.02,62.16,69.43,67.08,65.57,61.71,66.04,60.88,70.45,70.73,68.36,71.7,67.09,65.18,58.5,62.69,63.02,68.29,64.77,69.87,64.05,69.38,66.2,68.74,60.59,66.23,66.48,67.75,59.09,74.7,73.9,74.31,72.95,73.12,73.87,71.4,72.13,74.52,64.94,74.12,67.15,74.32,77.47,63.32,58.35,50.88,66.44,75.05,70.5,69.94,64.79,69.88,63.25,74.83,73.49,71.72,75.14,71.87,70.28,63.14,66.28,66.69,73.45,67.71,73.99,68.15,73.11,71.81,other-cls,Classification
5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-mistral-7b-instruct"">e5-mistral-7b-instruct</a>",7111,26.49,66.64,74.05,77.22,53.26,50.33,36.71,48.69,46.24,92.98,93.37,74.8,88.81,85.52,77.77,79.94,53.97,72.91,73.24,66.48,44.29,63.17,64.23,64.94,55.48,74.09,68.31,75.09,72.21,68.74,46.39,66.22,69.45,69.41,56.92,72.71,59.91,75.25,76.36,57.92,52.55,46.45,53.96,74.21,59.23,51.45,51.38,69.85,49.15,74.83,75.27,69.63,76.63,67.15,58.84,57.37,53.15,51.51,66.91,68.73,72.07,62.09,71.17,71.14,73.37,47.21,69.84,67.0,68.05,61.88,79.03,72.97,78.84,76.74,71.22,53.86,69.64,73.51,74.06,59.55,77.41,66.58,78.39,79.62,64.29,57.52,52.42,58.55,78.89,63.5,54.03,54.24,75.53,52.19,78.48,77.96,73.19,80.52,73.66,64.03,64.66,57.76,57.27,72.46,73.71,75.04,67.05,75.52,76.87,other-cls,Classification
6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278,1.04,64.32,71.72,73.33,41.83,40.53,40.94,37.44,37.23,89.63,90.59,84.79,87.32,86.24,71.23,71.27,55.51,69.24,71.71,59.98,53.66,57.46,62.59,61.13,50.06,66.09,64.68,68.4,67.25,65.78,67.95,62.05,64.95,64.97,60.08,66.64,56.39,68.93,68.94,54.26,48.99,44.69,59.19,66.34,60.34,63.09,58.76,62.48,58.56,67.3,68.98,65.54,69.02,62.35,61.23,56.0,58.71,59.72,65.6,60.86,67.41,61.52,66.17,64.65,65.09,58.52,62.24,63.75,65.0,52.84,71.95,70.18,71.5,70.25,69.13,71.89,67.44,69.16,70.75,63.14,70.7,60.94,72.32,74.65,59.69,54.37,48.31,62.15,72.45,62.81,68.04,61.44,66.9,61.64,72.11,70.83,69.19,72.99,65.26,66.49,59.89,62.38,62.59,71.61,62.74,71.67,64.64,70.01,70.69,other-cls,Classification
7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/facebook/SONAR"">SONAR</a>",,,63.11,72.02,71.79,34.61,35.17,34.91,31.84,31.91,89.54,90.62,86.19,89.42,85.9,73.43,73.84,66.75,69.14,68.47,58.15,57.91,57.23,57.17,62.24,51.19,61.31,64.21,63.97,66.67,62.86,58.55,63.45,61.32,62.91,60.03,63.29,56.02,64.44,63.7,52.0,54.09,43.34,57.87,62.69,56.24,62.81,58.49,61.56,59.4,64.56,63.49,62.53,62.63,63.43,61.45,56.25,59.75,59.61,59.42,58.12,60.91,59.49,60.48,56.73,64.06,63.24,63.69,60.86,67.17,56.52,67.48,70.23,69.08,72.1,67.16,63.02,68.83,66.9,69.33,65.82,68.98,63.14,70.04,70.68,59.79,61.03,49.05,63.78,69.6,59.97,69.2,62.72,67.87,64.98,69.8,67.5,67.53,67.96,69.57,68.48,63.18,64.85,65.39,67.99,63.4,65.77,65.81,66.52,63.3,other-cls,Classification
8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-small"">multilingual-e5-small</a>",118,0.44,61.63,71.65,64.19,40.25,40.39,39.68,37.68,37.5,87.47,89.27,81.2,86.02,85.35,65.86,67.97,46.01,66.3,67.52,57.07,51.96,54.43,59.8,59.38,46.56,62.73,61.6,66.31,65.54,61.46,65.47,58.05,64.07,60.95,57.4,64.17,52.26,65.54,68.23,50.85,48.45,42.83,57.51,63.79,54.99,61.9,57.1,58.99,55.9,65.64,66.85,60.81,65.76,56.52,57.99,53.57,57.26,57.83,64.07,58.91,63.54,59.28,64.07,62.54,63.04,56.84,59.62,60.85,62.77,50.18,69.19,67.07,69.83,68.71,65.95,68.76,63.81,67.69,66.47,59.5,67.92,56.49,69.04,73.89,56.63,52.24,46.62,59.16,69.85,56.66,66.54,59.31,64.88,58.86,70.87,68.18,64.65,69.48,60.18,62.86,58.15,59.44,60.85,70.66,60.88,68.05,62.11,67.44,68.32,other-cls,Classification
9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/LaBSE"">LaBSE</a>",471,1.75,60.56,73.17,76.42,39.92,39.39,38.52,36.44,36.45,86.95,84.07,84.14,85.11,81.24,63.42,64.44,62.01,62.58,64.61,56.12,55.71,50.86,58.97,58.22,50.16,56.21,57.03,58.32,62.33,60.12,60.47,56.55,59.4,59.52,56.2,61.12,54.9,59.83,63.11,50.98,48.35,48.55,56.24,60.99,57.1,57.91,58.5,58.6,57.35,59.37,60.16,57.92,60.67,59.37,58.03,51.62,55.04,58.32,56.58,55.28,60.91,56.7,56.67,59.51,63.39,62.02,57.72,63.48,61.84,56.13,62.39,64.58,63.61,67.46,64.58,65.1,63.53,64.4,65.82,61.25,65.84,61.94,64.09,67.72,58.29,53.38,56.18,61.74,67.26,61.87,62.26,62.6,65.63,62.94,65.16,63.28,62.41,65.25,64.25,64.54,58.36,59.08,64.13,64.34,60.23,65.43,61.52,61.05,67.08,other-cls,Classification
10,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amazon/Titan-text-embeddings-v2"">Titan-text-embeddings-v2</a>",,,54.73,70.94,80.06,38.83,39.39,39.47,35.9,36.07,86.91,87.74,86.22,82.92,69.9,63.26,65.06,59.43,59.08,43.75,47.6,31.57,52.63,50.09,46.54,44.26,61.87,47.02,62.54,55.19,48.43,64.27,57.62,57.54,45.67,39.2,55.0,43.14,61.0,64.29,43.69,38.35,34.22,51.79,59.59,46.54,54.47,40.68,51.24,31.76,60.82,62.74,49.68,60.85,48.59,47.17,45.97,53.6,53.45,46.17,49.48,58.03,39.26,52.16,58.21,58.07,38.21,57.47,54.37,52.72,49.5,71.28,52.42,67.04,60.17,54.05,69.76,62.85,62.18,53.52,45.95,60.33,50.1,66.49,68.36,50.59,42.76,40.65,57.25,63.84,53.14,58.84,44.82,58.9,38.52,67.54,65.7,57.2,65.42,55.15,55.68,52.3,56.19,58.02,52.56,57.43,61.55,47.11,56.83,64.02,other-cls,Classification
