Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,STS17 (ar-ar),STS17 (en-ar),STS17 (en-de),STS17 (en-tr),STS17 (es-en),STS17 (es-es),STS17 (fr-en),STS17 (it-en),STS17 (ko-ko),STS17 (nl-en),STS22 (ar),STS22 (de),STS22 (de-en),STS22 (de-fr),STS22 (de-pl),STS22 (es),STS22 (es-en),STS22 (es-it),STS22 (fr),STS22 (fr-pl),STS22 (it),STS22 (pl),STS22 (pl-en),STS22 (ru),STS22 (tr),STS22 (zh-en),STSBenchmark,Subset,Task category
1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-mistral-7b-instruct"">e5-mistral-7b-instruct</a>",7111,26.49,73.17,81.87,77.93,87.3,72.56,88.24,87.46,88.06,89.68,83.69,88.25,54.12,49.12,60.92,61.39,54.47,67.0,75.84,75.04,69.82,84.52,75.87,39.21,73.18,60.83,68.72,71.88,88.6,other-sts,STS
2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Kenknight1999/tungdd7_ft_e5"">tungdd7_ft_e5</a>",560,2.09,70.02,77.88,75.06,86.16,71.23,80.75,86.74,85.62,84.54,82.27,85.28,56.99,56.59,56.6,67.79,49.58,64.58,72.52,68.93,76.79,50.71,76.98,34.68,65.54,59.9,63.55,66.0,87.29,other-sts,STS
3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Kenknight1999/test_ver_2"">test_ver_2</a>",560,2.09,70.02,77.88,75.06,86.16,71.23,80.75,86.74,85.62,84.54,82.27,85.28,56.99,56.59,56.6,67.79,49.58,64.58,72.52,68.93,76.79,50.71,76.98,34.68,65.54,59.9,63.55,66.0,87.29,other-sts,STS
4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560,2.09,70.02,77.88,75.06,86.16,71.23,80.75,86.74,85.62,84.54,82.27,85.28,56.99,56.59,56.6,67.79,49.58,64.58,72.52,68.93,76.79,50.71,76.98,34.66,65.54,59.9,63.55,66.0,87.29,other-sts,STS
5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amazon/Titan-text-embeddings-v2"">Titan-text-embeddings-v2</a>",,,68.85,79.38,58.76,76.13,55.53,72.26,85.06,75.63,71.36,80.79,71.99,57.44,60.12,53.36,58.25,48.47,68.57,77.41,74.69,81.47,73.25,79.28,42.08,77.5,61.71,66.62,69.87,81.95,other-sts,STS
6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278,1.04,68.84,74.52,71.27,82.09,63.33,76.5,86.74,80.18,80.15,79.95,79.25,57.87,55.95,54.93,59.47,39.35,66.58,73.99,66.46,74.8,73.25,77.76,34.07,70.37,60.66,63.7,69.92,85.64,other-sts,STS
7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-small"">multilingual-e5-small</a>",118,0.44,67.07,73.03,57.41,77.24,55.97,72.44,84.84,72.29,77.33,78.87,75.38,56.65,53.45,56.49,60.57,28.24,66.88,74.57,71.81,76.58,84.52,76.53,35.8,72.69,59.9,63.71,63.74,84.01,other-sts,STS
8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/LaBSE"">LaBSE</a>",471,1.75,66.01,69.07,74.51,73.85,72.07,65.71,80.83,76.98,76.99,71.32,75.22,57.67,48.58,50.14,53.28,58.69,63.18,71.86,69.69,77.95,61.98,72.22,39.28,69.41,57.49,58.15,64.02,72.25,other-sts,STS
9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/shibing624/text2vec-base-multilingual"">text2vec-base-multilingual</a>",118,0.44,65.66,78.03,78.6,81.48,76.34,81.81,87.91,78.06,80.98,68.24,81.0,54.51,46.89,45.0,49.43,39.32,58.94,67.71,50.79,74.1,73.25,65.86,34.81,60.17,54.51,57.29,61.29,86.45,other-sts,STS
10,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ManiShankar-AlpesAi/paraphrase-multilingual-mpnet-base-v2-KE_Sieve"">paraphrase-multilingual-mpnet-base-v2-KE_Sieve</a>",,,65.52,76.04,77.6,70.4,71.04,81.59,82.77,77.16,81.52,77.0,80.7,52.61,41.84,49.09,50.6,50.44,57.23,67.29,57.93,72.79,73.25,64.17,36.37,67.72,53.35,52.71,64.45,81.34,other-sts,STS
