Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,AllegroReviews,CBD,MassiveIntentClassification (pl),MassiveScenarioClassification (pl),PAC,PolEmo2.0-IN,PolEmo2.0-OUT,Subset,Task category
1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-roberta-large"">mmlw-roberta-large</a>",435.0,1.62,66.39,47.49,69.33,74.81,77.84,64.69,76.84,53.72,pl,Classification
2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560.0,2.09,63.82,41.14,69.9,65.07,69.82,70.37,77.06,53.38,pl,Classification
3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-roberta-base"">mmlw-roberta-base</a>",124.0,0.46,62.92,40.26,68.11,72.31,75.53,65.87,71.73,46.6,pl,Classification
4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-e5-large"">mmlw-e5-large</a>",560.0,2.09,61.07,37.68,66.15,72.01,75.27,63.77,69.46,43.14,pl,Classification
5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/OrlikB/st-polish-kartonberta-base-alpha-v1"">st-polish-kartonberta-base-alpha-v1</a>",124.0,0.46,60.44,40.19,67.69,68.2,73.97,66.55,68.41,38.06,pl,Classification
6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-e5-base"">mmlw-e5-base</a>",278.0,1.04,59.52,36.38,65.54,70.93,74.76,64.5,68.7,35.81,pl,Classification
7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ipipan/herbert-base-retrieval-v2"">herbert-base-retrieval-v2</a>",125.0,0.47,59.26,34.11,68.35,65.53,68.51,68.4,64.18,45.73,pl,Classification
8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278.0,1.04,59.01,40.85,62.66,61.04,66.11,70.87,67.66,43.91,pl,Classification
9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ipipan/silver-retriever-base-v1"">silver-retriever-base-v1</a>",125.0,0.47,58.99,33.35,68.51,66.63,69.97,66.26,63.52,44.7,pl,Classification
10,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/st-polish-paraphrase-from-distilroberta"">st-polish-paraphrase-from-distilroberta</a>",125.0,0.47,58.55,34.5,70.27,64.81,70.01,64.6,67.06,38.58,pl,Classification
11,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-e5-small"">mmlw-e5-small</a>",118.0,0.44,57.73,33.03,64.24,67.35,72.13,63.11,63.96,40.32,pl,Classification
12,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/st-polish-paraphrase-from-mpnet"">st-polish-paraphrase-from-mpnet</a>",125.0,0.47,57.49,34.55,67.48,65.93,71.85,63.25,68.37,30.99,pl,Classification
13,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/LaBSE"">LaBSE</a>",471.0,1.75,57.39,34.89,65.71,59.71,64.58,68.11,64.0,44.72,pl,Classification
14,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-small"">multilingual-e5-small</a>",118.0,0.44,57.05,37.42,63.25,57.4,64.25,70.55,67.35,39.13,pl,Classification
15,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/facebook/SONAR"">SONAR</a>",,,56.34,29.62,63.83,65.86,69.99,73.87,52.8,38.4,pl,Classification
16,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2"">paraphrase-multilingual-mpnet-base-v2</a>",278.0,1.04,54.09,33.86,65.0,64.29,68.98,63.76,62.78,19.98,pl,Classification
17,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"">paraphrase-multilingual-MiniLM-L12-v2</a>",118.0,0.44,52.18,30.88,57.68,59.43,65.04,65.76,57.76,28.7,pl,Classification
18,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v2"">distiluse-base-multilingual-cased-v2</a>",135.0,0.5,49.92,28.03,60.0,53.1,61.29,68.17,48.84,30.0,pl,Classification
19,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-base"">winberta-base</a>",,,37.66,24.89,53.78,31.77,37.49,57.14,40.97,17.57,pl,Classification
20,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://github.com/facebookresearch/LASER"">LASER2</a>",43.0,0.16,,,,44.99,52.92,,,,pl,Classification
21,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-large"">winberta-large</a>",,,,,,27.62,31.6,,,,pl,Classification
22,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/windberta-large"">windberta-large</a>",,,,,,33.17,36.34,,,,pl,Classification
23,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Kenknight1999/test_ver_2"">test_ver_2</a>",560.0,2.09,,,,71.55,74.13,,,,pl,Classification
24,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Kenknight1999/tungdd7_ft_e5"">tungdd7_ft_e5</a>",560.0,2.09,,,,71.55,74.13,,,,pl,Classification
26,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-msmarco-specb-bitfit"">SGPT-125M-weightedmean-msmarco-specb-bitfit</a>",138.0,0.51,,,,42.2,41.89,,,,pl,Classification
27,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-nli-bitfit"">SGPT-125M-weightedmean-nli-bitfit</a>",138.0,0.51,,,,42.62,41.88,,,,pl,Classification
28,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amazon/Titan-text-embeddings-v2"">Titan-text-embeddings-v2</a>",,,,,,60.07,64.0,,,,pl,Classification
29,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco"">sgpt-bloom-7b1-msmarco</a>",7068.0,26.33,,,,50.48,49.98,,,,pl,Classification
30,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-mistral-7b-instruct"">e5-mistral-7b-instruct</a>",7111.0,26.49,,,,74.85,77.37,,,,pl,Classification
31,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large-instruct"">multilingual-e5-large-instruct</a>",560.0,2.09,,,,73.65,76.69,,,,pl,Classification
32,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-1b1"">udever-bloom-1b1</a>",1065.0,3.97,,,,44.47,45.6,,,,pl,Classification
33,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-560m"">udever-bloom-560m</a>",559.0,2.08,,,,41.63,41.63,,,,pl,Classification
34,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2"">all-MiniLM-L12-v2</a>",33.0,0.12,,,,37.63,44.72,,,,pl,Classification
36,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/allenai-specter"">allenai-specter</a>",110.0,0.41,,,,35.77,36.87,,,,pl,Classification
38,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-large"">gtr-t5-large</a>",168.0,0.63,,,,39.08,46.79,,,,pl,Classification
39,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-xl"">gtr-t5-xl</a>",1240.0,4.62,,,,42.64,49.97,,,,pl,Classification
40,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-base"">sentence-t5-base</a>",110.0,0.41,,,,34.41,42.3,,,,pl,Classification
41,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-large"">sentence-t5-large</a>",168.0,0.63,,,,37.67,45.2,,,,pl,Classification
42,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xl"">sentence-t5-xl</a>",1240.0,4.62,,,,43.95,49.87,,,,pl,Classification
43,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/shibing624/text2vec-base-multilingual"">text2vec-base-multilingual</a>",118.0,0.44,,,,58.91,62.55,,,,pl,Classification
