Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,AmazonReviewsClassification (zh),IFlyTek,JDReview,MassiveIntentClassification (zh-CN),MassiveScenarioClassification (zh-CN),MultilingualSentiment,OnlineShopping,TNews,Waimai,Subset,Task category
1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sensenova/piccolo-large-zh-v2"">piccolo-large-zh-v2</a>",,,74.59,49.44,52.1,88.57,77.71,85.63,79.09,94.62,54.52,89.59,zh,Classification
2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct"">gte-Qwen1.5-7B-instruct</a>",7099,26.45,73.36,52.95,53.77,88.2,76.25,77.26,77.42,94.48,51.24,88.63,zh,Classification
3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://platform.baichuan-ai.com/docs/text-Embedding"">Baichuan-text-embedding</a>",,,72.84,48.3,50.75,87.69,74.91,81.28,76.83,94.42,52.62,88.77,zh,Classification
4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/aspire/acge_text_embedding"">acge_text_embedding</a>",326,1.21,72.75,48.54,51.77,86.7,75.87,78.44,77.53,93.71,53.69,88.53,zh,Classification
5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Erin/IYun-large-zh"">IYun-large-zh</a>",,,72.75,48.54,51.77,86.7,75.87,78.43,77.52,93.71,53.69,88.53,zh,Classification
6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://help.aliyun.com/zh/open-search/vector-search-edition/hybrid-retrieval"">OpenSearch-text-hybrid</a>",,,71.74,46.18,51.8,86.02,73.85,77.13,76.35,93.2,53.06,88.1,zh,Classification
7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-mrl-large-zh-v3.5-1792d"">stella-mrl-large-zh-v3.5-1792d</a>",326,1.21,71.56,46.59,50.74,86.1,73.28,76.2,76.64,93.39,53.1,88.01,zh,Classification
8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-large-zh-v3-1792d"">stella-large-zh-v3-1792d</a>",325,1.21,71.5,46.32,50.63,86.12,73.28,76.3,76.45,93.24,53.11,88.08,zh,Classification
9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Pristinenlp/alime-embedding-large-zh"">alime-embedding-large-zh</a>",326,1.21,71.35,46.95,49.67,86.53,73.39,76.04,76.4,92.6,52.04,88.49,zh,Classification
10,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-large-zh"">gte-large-zh</a>",326,1.21,71.34,47.23,49.6,86.72,73.31,75.71,76.48,92.68,51.98,88.37,zh,Classification
11,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-base-zh"">gte-base-zh</a>",102,0.38,71.26,45.82,48.62,85.95,73.32,76.79,75.79,93.36,53.65,88.07,zh,Classification
12,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/lier007/xiaobu-embedding"">xiaobu-embedding</a>",326,1.21,71.2,46.72,49.74,86.74,72.87,75.47,76.28,92.49,52.16,88.36,zh,Classification
13,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-base-zh-v3-1792d"">stella-base-zh-v3-1792d</a>",102,0.38,71.12,46.34,49.93,86.27,72.05,75.3,76.22,93.53,53.2,87.27,zh,Classification
14,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/liujiarik/lim_base_zh"">lim_base_zh</a>",102,0.38,70.83,46.67,47.34,85.67,72.38,74.87,76.27,93.05,53.27,87.96,zh,Classification
15,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-mistral-7b-instruct"">e5-mistral-7b-instruct</a>",7111,26.49,70.17,46.24,45.05,85.82,74.99,79.93,73.31,92.19,47.05,86.94,zh,Classification
16,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DMetaSoul/Dmeta-embedding-zh"">Dmeta-embedding-zh</a>",103,0.38,70.0,44.93,48.3,85.07,71.16,73.54,75.16,93.25,52.41,86.21,zh,Classification
17,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DMetaSoul/Dmeta-embedding-zh-small"">Dmeta-embedding-zh-small</a>",74,0.28,69.89,44.88,49.11,85.57,70.78,73.16,74.39,93.12,51.8,86.18,zh,Classification
18,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-large-zh-v1.5"">bge-large-zh-v1.5</a>",326,1.21,69.13,41.38,48.74,85.14,68.84,74.7,72.97,91.43,52.1,86.9,zh,Classification
19,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/windberta-large"">windberta-large</a>",,,69.09,43.32,47.08,84.48,70.91,74.94,72.68,92.11,49.85,86.44,zh,Classification
20,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amu/tao"">tao</a>",163,0.61,69.05,40.81,48.01,87.02,68.27,73.13,73.4,91.82,51.93,87.1,zh,Classification
21,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-large-zh-v2"">stella-large-zh-v2</a>",163,0.61,69.05,40.82,47.99,86.98,68.26,73.12,73.41,91.81,51.93,87.12,zh,Classification
