Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,Cmnli,Ocnli,Subset,Task category
1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sensenova/piccolo-large-zh-v2"">piccolo-large-zh-v2</a>",,,90.24,92.64,87.84,zh,PairClassification
2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DMetaSoul/Dmeta-embedding-zh"">Dmeta-embedding-zh</a>",103,0.38,88.92,90.66,87.18,zh,PairClassification
3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct"">gte-Qwen1.5-7B-instruct</a>",7099,26.45,88.52,91.81,85.22,zh,PairClassification
4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://help.aliyun.com/zh/open-search/vector-search-edition/hybrid-retrieval"">OpenSearch-text-hybrid</a>",,,88.1,90.77,85.44,zh,PairClassification
5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-large-zh-v3-1792d"">stella-large-zh-v3-1792d</a>",325,1.21,88.1,90.77,85.44,zh,PairClassification
6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-mrl-large-zh-v3.5-1792d"">stella-mrl-large-zh-v3.5-1792d</a>",326,1.21,88.08,90.66,85.51,zh,PairClassification
7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-base-zh-v3-1792d"">stella-base-zh-v3-1792d</a>",102,0.38,87.93,90.42,85.43,zh,PairClassification
8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/aspire/acge_text_embedding"">acge_text_embedding</a>",326,1.21,87.84,90.49,85.18,zh,PairClassification
9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DMetaSoul/Dmeta-embedding-zh-small"">Dmeta-embedding-zh-small</a>",74,0.28,87.57,90.29,84.85,zh,PairClassification
10,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/lier007/xiaobu-embedding"">xiaobu-embedding</a>",326,1.21,85.3,89.95,80.64,zh,PairClassification
11,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Erin/IYun-large-zh"">IYun-large-zh</a>",,,85.16,85.16,85.16,zh,PairClassification
12,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-large-zh"">gte-large-zh</a>",326,1.21,84.41,89.5,79.32,zh,PairClassification
13,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Pristinenlp/alime-embedding-large-zh"">alime-embedding-large-zh</a>",326,1.21,84.34,89.36,79.31,zh,PairClassification
14,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-base-zh"">jina-embeddings-v2-base-zh</a>",161,0.6,82.94,85.27,80.62,zh,PairClassification
15,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-large-zh-v2"">stella-large-zh-v2</a>",163,0.61,82.68,86.85,78.51,zh,PairClassification
16,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amu/tao-8k"">tao-8k</a>",167,0.62,82.68,86.85,78.5,zh,PairClassification
17,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amu/tao"">tao</a>",163,0.61,82.68,86.85,78.5,zh,PairClassification
18,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-large"">winberta-large</a>",,,82.38,87.3,77.46,zh,PairClassification
19,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/windberta-large"">windberta-large</a>",,,82.38,87.55,77.21,zh,PairClassification
