Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,AFQMC,ATEC,BQ,LCQMC,PAWSX,QBQTC,STS22 (zh),STSB,Subset,Task category
1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentosa/ZNV-Embedding"">ZNV-Embedding</a>",6061,22.58,67.66,53.84,54.44,70.57,74.99,58.35,71.45,74.92,82.74,zh,STS
2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DMetaSoul/Dmeta-embedding-zh"">Dmeta-embedding-zh</a>",103,0.38,64.89,71.13,64.64,72.3,78.76,45.05,42.62,63.84,80.77,zh,STS
3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sensenova/piccolo-large-zh-v2"">piccolo-large-zh-v2</a>",,,63.5,61.49,59.2,72.88,79.55,46.48,45.91,63.76,78.71,zh,STS
4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-base-zh-v3-1792d"">stella-base-zh-v3-1792d</a>",102,0.38,62.49,59.22,58.43,70.44,78.27,43.97,40.02,66.49,83.05,zh,STS
5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-mrl-large-zh-v3.5-1792d"">stella-mrl-large-zh-v3.5-1792d</a>",326,1.21,62.48,58.85,58.08,71.05,78.26,45.36,38.98,66.26,82.96,zh,STS
6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-large-zh-v3-1792d"">stella-large-zh-v3-1792d</a>",325,1.21,62.46,59.11,58.19,71.07,78.27,45.0,38.69,66.53,82.8,zh,STS
7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://help.aliyun.com/zh/open-search/vector-search-edition/hybrid-retrieval"">OpenSearch-text-hybrid</a>",,,62.46,59.11,58.19,71.07,78.27,44.98,38.69,66.53,82.8,zh,STS
8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct"">gte-Qwen1.5-7B-instruct</a>",7099,26.45,62.32,58.47,55.46,77.59,76.29,50.22,31.82,67.36,81.37,zh,STS
9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DMetaSoul/Dmeta-embedding-zh-small"">Dmeta-embedding-zh-small</a>",74,0.28,62.13,59.54,58.63,70.31,78.73,42.97,41.03,66.76,79.09,zh,STS
10,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/aspire/acge_text_embedding"">acge_text_embedding</a>",326,1.21,62.09,58.81,57.95,70.37,78.17,45.51,37.31,65.85,82.73,zh,STS
11,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Erin/IYun-large-zh"">IYun-large-zh</a>",,,62.08,58.8,57.94,70.36,78.18,45.47,37.31,65.86,82.72,zh,STS
12,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://platform.baichuan-ai.com/docs/text-Embedding"">Baichuan-text-embedding</a>",,,60.07,50.8,53.23,66.49,76.6,47.56,39.96,65.78,80.14,zh,STS
13,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-base-zh"">jina-embeddings-v2-base-zh</a>",161,0.6,59.39,50.59,51.29,66.07,75.74,41.49,38.11,69.25,82.56,zh,STS
14,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-large-zh-v2"">stella-large-zh-v2</a>",163,0.61,58.66,49.95,53.12,65.54,77.48,36.22,38.73,68.87,79.37,zh,STS
15,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amu/tao-8k"">tao-8k</a>",167,0.62,58.66,49.94,53.11,65.54,77.48,36.22,38.74,68.88,79.37,zh,STS
16,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amu/tao"">tao</a>",163,0.61,58.66,49.94,53.11,65.54,77.48,36.22,38.74,68.88,79.36,zh,STS
17,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/lier007/xiaobu-embedding"">xiaobu-embedding</a>",326,1.21,58.52,54.85,55.13,65.57,75.55,37.87,33.69,64.32,81.19,zh,STS
18,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Pristinenlp/alime-embedding-large-zh"">alime-embedding-large-zh</a>",326,1.21,58.41,54.73,55.13,64.89,75.12,37.93,34.21,64.54,80.72,zh,STS
19,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-large-zh"">stella-large-zh</a>",163,0.61,58.3,54.49,54.45,62.38,76.28,37.97,37.84,67.28,75.71,zh,STS
20,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sensenova/piccolo-large-zh"">piccolo-large-zh</a>",163,0.61,58.02,54.17,54.28,62.31,75.81,38.31,38.22,66.66,74.43,zh,STS
21,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zhou-xl/bi-cse"">bi-cse</a>",560,2.09,57.91,43.45,48.01,65.58,75.56,47.62,40.43,67.24,75.38,zh,STS
22,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-large-zh"">gte-large-zh</a>",326,1.21,57.82,54.58,54.6,64.41,74.4,38.55,33.36,62.98,79.68,zh,STS
23,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Erin/mist-zh"">mist-zh</a>",51,0.19,57.08,46.98,51.35,65.08,76.96,30.03,37.5,69.2,79.57,zh,STS
24,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-base-zh-v2"">stella-base-zh-v2</a>",51,0.19,56.92,46.73,51.22,64.8,76.89,29.7,37.38,69.02,79.63,zh,STS
25,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-base-zh"">stella-base-zh</a>",51,0.19,56.54,51.75,52.82,63.29,75.83,32.02,36.47,67.52,72.63,zh,STS
26,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-large-zh-v1.5"">bge-large-zh-v1.5</a>",326,1.21,56.25,44.36,49.54,62.94,74.33,33.92,37.29,68.94,78.7,zh,STS
27,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-base-zh"">gte-base-zh</a>",102,0.38,55.96,49.07,50.83,65.5,74.06,27.97,35.19,63.64,81.46,zh,STS
28,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sensenova/piccolo-base-zh"">piccolo-base-zh</a>",51,0.19,55.9,51.4,52.59,62.68,75.4,31.58,36.48,66.51,70.6,zh,STS
29,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-large"">winberta-large</a>",,,54.55,46.7,49.95,56.08,74.96,33.49,31.06,64.51,79.63,zh,STS
30,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/windberta-large"">windberta-large</a>",,,54.35,46.77,50.18,55.25,74.29,33.24,30.92,64.41,79.74,zh,STS
